"ID","GSBC01","GSBC02","GSBC03","GSBC04","GSBC05","GSBC06","GSBC07","GSBC08","GSBC09","GSBC10","GSBC11","GSBC12","GSBC13","GSBC14","GSBC15","GSBC16","GSBC17","GSBC18","GSBC19","GSBC20","GSBC21","GSBC22","GSBC23","GSBC24","GSBC25","Harga"
"CAD2400025",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,2,0,0,1,14,585
"CAD2400026",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,2,525
"CAD2400027",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,2,0,1,0,7,485
"CAD2400028",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,1,12,615
"CAD2400029",0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,4,3,0,1,1,665
"CAD2400030",1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,2,1,5,2,1,1,74,885
"CAD2400031",0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,1,77,965
"CAD2400032",0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0,2,1,4,1,0,1,13,1105
"CAD2400033",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,1,4,2,1,0,13,335
"CAD2400034",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,1,15,915
"CAD2400035",0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,1,14,435
"CAD2400036",0,2,0,1,0,0,0,0,0,1,1,1,1,1,0,0,3,1,2,1,4,0,0,1,11,965
"CAD2400037",1,3,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,2,1,4,3,0,1,76,485
"CAD2400038",0,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,3,0,1,13,535
"CAD2400039",0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,3,1,0,2,825
"CAD2400040",0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,1,4,3,0,0,1,345
"CAD2400041",0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,0,2,435
"CAD2400042",0,2,0,2,0,0,1,0,0,1,0,1,0,1,0,0,3,4,0,1,2,0,0,0,3,225
"CAD2400043",0,5,0,2,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,3,1,0,1,14,885
"CAD2400044",1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,2,1,4,0,0,1,4,1385
"CAD2400045",0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,4,3,1,1,1,2215
"CAD2400046",0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,1,4,0,0,0,1,545
"CAD2400047",0,4,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,2,1,4,2,1,1,11,185
"CAD2400048",0,4,0,3,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,1,12,825
"CAD2400049",0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,3,0,0,71,985
"CAD2400050",0,5,0,2,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,1,16,705
"CAD2400051",0,2,0,2,0,0,1,1,0,1,1,1,0,1,0,0,3,1,2,1,4,3,1,1,15,435
"CAD2400052",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,0,71,1185
"CAD2400053",0,5,0,3,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,1,13,2785
"CAD2400054",0,4,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,3,3,1,1,14,585
"CAD2400055",0,4,0,4,0,0,1,1,0,0,0,0,1,0,1,0,3,1,2,1,4,1,0,1,18,1065
"CAD2400056",0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,2,0,1,1,7,1065
"CAD2400057",0,4,0,1,0,0,0,0,0,1,1,1,0,1,0,0,3,1,2,1,4,0,0,1,8,525
"CAD2400058",1,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,4,2,1,4,3,1,1,4,235
"CAD2400059",0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,3,1,1,4,585
"CAD2400060",0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,2,1,4,2,1,0,71,205
"CAD2400061",1,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,4,0,1,1,3,1245
"CAD2400062",0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,1,4,1,0,1,77,125
"CAD2400063",0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,0,77,385
"CAD2400064",0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,4,3,1,0,72,585
"CAD2400065",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,0,0,1,17,385
"CAD2400066",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,2,3,0,1,13,225
"CAD2400067",1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,4,3,1,1,18,335
"CAD2400068",0,2,0,2,0,0,1,0,0,1,1,1,0,1,0,1,3,4,0,1,4,1,0,1,7,615
"CAD2400069",0,4,0,1,0,0,1,1,0,0,0,0,0,0,1,0,3,1,2,1,4,1,0,1,79,425
"CAD2400070",1,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,4,2,1,4,1,0,1,16,535
"CAD2400071",1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,1,4,1,0,1,74,385
"CAD2400072",0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,4,1,0,1,71,335
"CAD2400073",0,2,0,1,0,0,1,0,0,1,0,1,1,1,0,0,3,0,2,1,4,1,0,1,12,585
"CAD2400074",0,4,0,1,0,0,1,1,0,0,0,0,0,1,0,0,3,1,2,1,4,0,0,1,5,485
"CAD2400075",1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,14,225
"CAD2400076",0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,3,2,1,1,11,965
"CAD2400077",0,4,1,3,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,3,1,0,0,73,1285
"CAD2400078",0,4,0,2,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,0,0,1,10,825
"CAD2400079",0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,1,4,1,0,1,10,485
"CAD2400080",1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,4,2,1,4,3,1,0,7,305
"CAD2400081",0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,1,13,885
"CAD2400082",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,1,4,1,0,0,12,315
"CAD2400083",0,2,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,2,1,4,3,0,1,14,385
"CAD2400084",0,4,0,2,0,0,1,1,0,0,0,0,0,1,1,0,3,1,2,1,4,0,1,1,79,545
"CAD2400085",0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,1,2,1,3,1,0,1,17,825
"CAD2400086",1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,1,2,3,1,0,6,65
"CAD2400087",0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,3,0,1,6,945
"CAD2400088",0,2,0,2,0,0,1,1,0,0,0,0,0,1,1,0,3,1,2,1,4,1,0,1,18,1065
"CAD2400089",0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,1,2,1,4,3,0,1,7,545
"CAD2400090",0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,3,3,1,1,72,1485
"CAD2400091",1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,1,2,1,4,1,0,0,77,1495
"CAD2400092",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,2,3,1,1,7,755
"CAD2400093",0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,1,4,3,0,1,1,345
"CAD2400094",0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,2,1,2,1,4,1,0,1,12,705
"CAD2400095",0,4,0,4,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1,4,1,0,1,75,885
"CAD2400096",1,2,0,0,0,0,1,0,0,1,0,1,0,1,0,0,3,0,2,1,2,3,0,1,8,705
"CAD2400097",0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,4,0,1,1,1,1485
"CAD2400098",0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,2,1,4,1,0,1,75,285
"CAD2400099",0,5,0,4,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,1,75,1065
"CAD2400100",0,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,2,1,4,1,0,1,17,1385
"CAD2400101",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,2,0,1,0,7,465
"CAD2400102",0,5,0,2,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,3,1,0,1,76,1345
"CAD2400103",0,4,0,2,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,0,0,1,14,885
"CAD2400104",0,2,0,1,0,0,1,1,0,0,0,0,0,0,1,0,3,1,2,1,4,1,0,1,18,465
"CAD2400105",0,3,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,4,2,1,4,3,1,1,75,2485
"CAD2400106",1,2,0,1,0,0,0,0,0,1,1,1,0,0,0,0,3,1,2,1,4,1,0,0,15,475
"CAD2400107",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,2,0,1,0,2,225
"CAD2400108",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,1,75,145
"CAD2400109",0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,3,3,1,1,1,985
"CAD2400110",0,5,0,4,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,1,4,2,1,0,3,1105
"CAD2400111",0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,1,4,0,0,1,9,285
"CAD2400112",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,1,0,0,77,45
"CAD2400113",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,2,1,4,0,0,1,13,545
"CAD2400114",0,3,0,2,0,0,1,1,0,0,0,0,0,1,0,0,3,1,2,1,4,1,0,1,9,545
"CAD2400115",1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,2,1,1,4,785
"CAD2400116",1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,1,2,0,0,0,2,265
"CAD2400117",1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,2,2,1,0,14,985
"CAD2400118",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,4,2,1,0,78,475
"CAD2400119",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,1,1,2,0,1,0,3,335
"CAD2400120",0,2,0,3,0,0,0,1,0,0,0,1,0,1,0,0,3,1,2,1,4,3,0,1,9,505
"CAD2400121",0,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,3,1,2,1,4,1,0,1,15,465
"CAD2400122",0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,4,2,1,4,0,1,1,11,925
"CAD2400123",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,4,1,0,1,74,385
"CAD2400124",1,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,3,1,1,4,3,0,0,2,435
"CAD2400125",1,4,0,1,0,0,1,0,0,1,1,1,0,1,0,0,3,0,2,1,4,0,1,1,8,525
"CAD2400126",1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,2,1,2,0,0,0,18,335
"CAD2400127",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,1,4,1,0,1,12,705
"CAD2400128",0,4,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,2,1,4,0,1,0,72,405
"CAD2400129",0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,3,3,1,1,17,465
"CAD2400130",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,4,0,0,0,3,335
"CAD2400131",0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2,1,4,3,1,1,16,1235
"CAD2400132",1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,0,73,195
"CAD2400133",0,3,0,1,0,0,1,0,0,1,0,1,0,1,0,0,3,1,2,1,4,2,1,1,9,785
"CAD2400134",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,4,3,1,0,13,435
"CAD2400135",0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,2,0,1,0,7,225
"CAD2400136",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,1,4,0,1,0,3,645
"CAD2400137",1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,2,1,4,1,0,0,9,945
"CAD2400138",0,4,0,2,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,1,12,1485
"CAD2400139",1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,2,1,4,2,1,1,13,525
"CAD2400140",1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,1,4,0,1,0,2,985
"CAD2400141",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,2,0,1,1,7,755
"CAD2400142",1,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,1,4,3,1,0,17,475
"CAD2400143",0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,1,4,3,0,0,5,205
"CAD2400144",1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,0,4,965
"CAD2400145",0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,1,2,0,1,0,3,385
"CAD2400146",0,2,0,3,0,0,1,1,0,0,0,0,0,1,0,0,3,1,2,1,4,3,0,1,72,945
"CAD2400147",0,2,1,3,0,0,0,1,0,1,1,1,1,1,0,0,3,1,2,1,4,1,0,0,5,405
"CAD2400148",0,4,0,0,0,0,0,1,0,1,1,1,0,1,0,0,3,1,2,1,4,0,1,1,1,685
"CAD2400149",0,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,3,0,1,78,785
"CAD2400150",0,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,3,2,2,1,4,3,1,1,13,585
"CAD2400151",0,4,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2,1,2,1,4,1,0,1,72,345
"CAD2400152",1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,3,1,1,2,0,1,1,2,585
"CAD2400153",0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,2,1,3,1,0,1,15,1985
"CAD2400154",0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1,4,3,0,1,2,485
"CAD2400155",0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,0,8,545
"CAD2400156",0,4,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3,1,2,1,4,0,1,1,13,625
"CAD2400157",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,1,12,305
"CAD2400158",0,3,0,2,0,0,1,1,0,0,1,1,0,1,0,0,3,1,2,1,4,0,1,1,5,35
"CAD2400159",0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,1,2,1,2,0,1,1,79,685
"CAD2400160",1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,4,2,1,4,1,0,0,6,225
"CAD2400161",0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,2,1,0,3,0,1,72,1605
"CAD2400162",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,1,4,0,0,1,79,525
"CAD2400163",0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,0,1,1,8,825
"CAD2400164",0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,3,1,1,15,885
"CAD2400165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,4,2,1,1,71,385
"CAD2400166",0,4,0,1,0,0,1,1,0,0,0,0,0,0,1,0,3,1,2,1,4,1,0,1,16,585
"CAD2400167",0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,1,4,2,1,1,8,525
"CAD2400168",1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,3,1,2,1,2,0,0,0,1,485
"CAD2400169",0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,4,2,1,4,1,0,1,76,705
"CAD2400170",0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3,1,1,4,0,0,0,3,485
"CAD2400171",0,4,0,2,0,0,1,0,0,0,0,0,0,0,1,0,3,1,2,1,4,0,1,1,18,975
"CAD2400172",0,4,0,2,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,3,1,0,1,15,635
"CAD2400173",0,2,0,3,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,1,6,1785
"CAD2400174",0,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3,1,2,1,4,2,1,1,74,735
"CAD2400175",1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,3,1,2,1,4,1,0,0,12,225
"CAD2400176",1,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,1,2,1,4,3,0,0,73,545
"CAD2400177",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,2,0,1,0,3,385
"CAD2400178",1,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,1,4,1,0,0,15,335
"CAD2400179",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,2,3,0,1,12,895
"CAD2400180",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,4,3,1,1,6,485
"CAD2400181",0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,2,1,4,2,1,0,74,335
"CAD2400182",0,3,0,2,0,0,0,1,0,1,1,0,0,1,0,0,1,0,2,1,4,1,0,1,16,985
"CAD2400183",0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,3,0,1,2,0,1,1,11,335
"CAD2400184",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,4,0,0,1,8,405
"CAD2400185",0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1,4,3,0,1,2,335
"CAD2400186",1,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,3,3,0,1,2,0,0,0,5,305
"CAD2400187",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,4,2,1,2,0,0,0,8,585
"CAD2400188",0,2,0,1,0,0,0,1,0,1,0,0,0,1,0,0,3,1,2,1,4,1,0,0,78,405
"CAD2400189",0,4,0,2,0,0,0,1,0,0,0,0,0,1,0,0,3,1,2,1,4,1,0,1,15,705
"CAD2400190",0,4,0,3,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,3,1,0,1,77,1785
"CAD2400191",0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,1,2,1,4,0,1,1,17,615
"CAD2400192",0,4,0,4,0,0,1,1,0,0,0,0,0,0,0,0,2,1,2,1,0,1,0,0,74,2745
"CAD2400193",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,1,16,585
"CAD2400194",0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,0,1,15,485
"CAD2400195",0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,4,2,1,1,74,525
"CAD2400196",0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,0,2,1,2,0,1,1,8,585
"CAD2400197",1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,2,1,2,0,0,0,7,235
"CAD2400198",0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,1,0,1,11,75
"CAD2400199",0,4,0,1,0,0,1,0,0,1,1,1,0,1,0,0,3,1,2,1,2,0,0,0,2,735
"CAD2400200",0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,2,1,4,0,0,1,5,335
"CAD2400201",0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,1,2,1,3,1,0,0,73,2985
"CAD2400202",0,2,0,1,0,0,1,1,0,1,0,1,0,1,0,0,3,1,2,1,4,1,0,1,12,1085
"CAD2400203",0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1,4,3,1,1,76,785
"CAD2400204",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,3,0,1,2,0,1,0,2,465
"CAD2400205",0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,1,2,1,4,3,1,0,13,325
"CAD2400206",0,4,0,2,0,0,0,1,0,0,0,0,0,0,1,0,3,1,2,1,4,3,1,1,75,385
"CAD2400207",0,2,0,1,0,0,1,0,0,0,0,1,0,1,0,0,3,1,2,1,4,0,1,0,10,1065
"CAD2400208",1,4,0,2,0,0,0,1,0,0,0,0,0,1,0,1,2,1,2,1,4,1,0,1,8,685
"CAD2400209",1,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,3,1,0,1,9,1185
"CAD2400210",1,2,0,1,0,0,1,1,0,1,1,1,0,1,0,0,2,0,2,1,4,0,1,0,5,355
"CAD2400211",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,2,1,2,0,1,1,11,1105
"CAD2400212",0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,0,0,1,1,885
"CAD2400213",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,2,1,4,1,0,1,12,685
"CAD2400214",0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,2,1,4,1,0,1,15,385
"CAD2400215",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,4,3,0,1,7,525
"CAD2400216",0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3,1,2,1,4,3,0,1,76,585
"CAD2400217",0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,1,2,0,1,0,6,335
"CAD2400218",0,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,1,16,335
"CAD2400219",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,4,1,0,1,17,1985
"CAD2400220",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,4,0,0,0,3,635
"CAD2400221",0,5,0,2,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,3,1,0,1,71,985
"CAD2400222",0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,1,4,1,0,0,12,625
"CAD2400223",1,3,0,0,0,0,1,1,0,1,1,1,0,1,0,1,3,0,0,1,4,0,0,0,6,525
"CAD2400224",0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,1,2,1,4,0,0,0,5,685
"CAD2400225",0,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3,1,2,1,4,1,0,0,71,785
"CAD2400226",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,4,0,1,1,1,255
